"ID","WH","Location","Description","Entry_By","Entry_On","ZONE","LOCLEVEL","STLOCATION","SLOC","LOCATIONTYPE","ZONEBARCODE","AISLES","CUSTID","PRIORITYLOCATION","LOCATIONSTATUS","CCSTATUS","AISLESBARCODE","LOCATIONBARCODE"
187,MAA,F132,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
188,MAA,F133,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
189,MAA,F134,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
190,MAA,F135,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
191,MAA,F136,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
87,MAA,F62,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
88,MAA,F63,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
89,MAA,F64,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
90,MAA,F65,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
91,MAA,F66,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
92,MAA,F67,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
93,MAA,F68,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
94,MAA,F69,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
95,MAA,F70,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
96,MAA,F71,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
97,MAA,F72,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
98,MAA,F73,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
